ID Alumne,Nom,Edat,Alçada (m),Programació,Bases de Dades,Sistemes Operatius,Desenvolupament Web,Hores d'Estudi,Faltes d'Assistència,Grup
ALU-1115,Cirino Acevedo,25,1.74,7.3,3.7,5.0,4.8,15.0,0,DAWA
ALU-1032,Amada Bermudez,18,1.85,6.7,5.6,3.0,9.1,14.0,7,DAWB
ALU-1214,Pánfilo Diez,23,1.72,6.7,4.8,10.0,6.9,9.0,19,DAWB
ALU-1003,Pastor Reyes,22,1.76,7.0,8.4,3.7,10.0,20.0,0,DAMA
ALU-1068,Estela Escobar,18,1.8,6.4,6.0,10.0,8.0,19.0,0,DAMB
ALU-1030,Antonio Ripoll,22,1.7,6.5,3.4,4.3,3.5,13.0,12,DAWA
ALU-1158,Marcial Alba,19,1.66,6.7,5.6,0.0,7.9,14.0,18,DAMB
ALU-1132,Ariel Aguirre,18,1.74,7.0,3.4,7.8,7.8,13.0,0,DAWA
ALU-1118,Teo Larrañaga,25,1.78,6.5,5.2,7.7,8.3,13.0,7,DAMB
ALU-1131,Poncio Chico,19,1.72,6.6,7.9,7.5,6.3,16.0,0,DAWB
ALU-1075,Ambrosio Salgado,23,1.67,6.1,4.0,2.9,2.1,8.0,0,DAWA
ALU-1047,Aurelio Arévalo,21,1.76,5.6,5.3,10.0,7.8,,0,DAMA
ALU-1050,Nuria Abella,36,1.65,8.7,10.0,9.9,6.2,13.0,22,DAWA
ALU-1151,Consuelo Cañizares,19,1.7,6.1,3.7,8.1,6.0,12.0,0,DAMB
ALU-1208,Jenaro Roselló,18,1.65,4.3,2.5,0.4,4.0,4.0,0,DAWA
ALU-1227,Adelia Grande,19,1.69,7.1,5.8,10.0,7.0,30.0,0,DAWA
ALU-1086,Horacio Solís,23,1.67,6.2,6.2,10.0,5.9,25.0,0,DAMA
ALU-1179,Rafa Simó,18,1.73,7.7,6.4,3.9,6.1,13.0,16,DAWB
ALU-1006,Loreto Quesada,18,1.74,,5.8,3.8,6.9,26.0,1,DAWB
ALU-1146,Rufino Villaverde,22,1.77,7.2,4.9,8.8,7.6,16.0,0,DAWB
ALU-1000,Efraín Cifuentes,19,1.69,5.3,5.8,10.0,6.9,14.0,4,DAMB
ALU-1246,Lorenza Arellano,20,1.8,5.8,,5.5,3.7,6.0,25,DAMA
ALU-1017,Josep Artigas,21,1.68,6.2,6.2,9.4,3.1,21.0,0,DAWA
ALU-1113,Iván Herranz,24,1.69,6.8,3.2,10.0,5.7,16.0,1,DAWB
ALU-1024,Estefanía Llorente,20,1.77,6.3,2.8,5.1,5.2,15.0,0,DAMB
ALU-1142,Macario Galiano,20,1.73,7.3,1.1,10.0,6.1,11.0,11,DAMA
ALU-1097,Eusebia Boix,20,1.63,7.0,8.2,4.7,4.5,25.0,0,
ALU-1152,Elías Huguet,18,1.69,7.1,4.8,8.2,4.5,13.0,0,DAWB
ALU-1028,Trinidad Blanes,22,1.68,7.6,5.7,4.1,10.0,9.0,6,DAWA
ALU-1170,Rogelio Aramburu,23,1.73,5.2,2.0,0.7,5.4,8.0,6,DAWB
ALU-1165,Rogelio Mendizábal,25,1.7,8.4,9.4,10.0,7.2,13.0,16,DAMB
ALU-1104,Jose Francisco Cuesta,32,1.66,7.5,6.1,9.2,10.0,21.0,4,DAMA
ALU-1226,Alfredo Narváez,36,1.7,6.3,4.1,6.4,8.6,20.0,0,DAWB
ALU-1241,Epifanio Santos,44,1.59,8.3,5.6,5.1,6.8,6.0,25,DAWB
ALU-1215,Primitivo Cobo,19,1.73,5.9,8.0,8.7,6.2,4.0,5,DAMA
ALU-1142,Macario Galiano,20,1.73,7.3,1.1,10.0,6.1,11.0,11,
ALU-1218,Andrés Felipe Arrieta,22,1.67,7.0,0.8,1.1,5.8,9.0,0,DAMA
ALU-1200,Alma Cases,22,1.77,5.7,5.8,8.5,10.0,17.0,0,DAWB
ALU-1190,Francisco Javier Mendizábal,18,1.84,,4.9,5.2,6.8,13.0,0,DAWA
ALU-1098,Ovidio Torre,18,1.72,6.1,6.8,0.0,7.8,4.0,0,DAMA
ALU-1070,Cebrián Iborra,24,1.74,7.0,2.4,6.4,6.1,21.0,25,DAWB
ALU-1122,Venceslás Cortés,19,1.72,7.3,4.5,8.7,6.7,19.0,0,DAWA
ALU-1049,Ciriaco Godoy,18,1.74,5.9,7.1,6.6,3.2,19.0,0,DAMA
ALU-1123,Néstor Almeida,18,1.79,9.1,5.0,8.3,6.5,0.0,1,DAMA
ALU-1059,Tomás Gálvez,19,1.7,6.8,2.5,5.5,8.3,18.0,7,DAWB
ALU-1020,Moreno Carbó,22,1.75,6.4,0.0,2.8,7.4,17.0,0,DAWB
ALU-1202,Dimas Alarcón,18,1.69,6.7,7.1,9.0,7.2,11.0,7,DAWA
ALU-1109,Natanael Tirado,18,1.75,6.8,6.8,4.2,7.7,2.0,0,DAWB
ALU-1204,Aníbal Tejada,22,1.65,6.7,7.9,10.0,7.3,12.0,0,DAWB
ALU-1231,Sandra Zamorano,21,1.73,8.1,6.2,10.0,8.8,20.0,0,DAWB
ALU-1212,Amílcar Godoy,22,1.64,8.8,7.3,2.2,9.7,7.0,11,DAWA
ALU-1026,Itziar Mata,18,1.72,6.9,4.7,6.4,5.4,13.0,0,DAWA
ALU-1083,Ignacio Badía,18,1.66,7.5,3.6,9.4,7.8,10.0,24,DAMA
ALU-1001,Leyre Goñi,44,1.59,6.9,6.2,3.1,8.5,10.0,8,DAMA
ALU-1213,Gilberto Criado,19,1.7,8.1,4.5,7.1,7.9,0.0,0,DAMB
ALU-1161,Jaime Riera,22,1.71,7.4,3.6,7.3,5.0,16.0,7,DAMA
ALU-1061,Encarnación Serna,19,1.75,5.6,0.0,2.2,5.6,17.0,15,DAMB
ALU-1037,Olga Aramburu,18,1.79,6.8,4.2,4.5,7.6,0.0,15,DAMB
ALU-1062,Victor Mas,25,1.65,7.9,2.8,10.0,8.1,24.0,0,DAWB
ALU-1145,Jose Angel Oliveras,18,1.7,9.3,4.2,10.0,7.9,29.0,3,DAMA
ALU-1185,Íñigo Marquez,22,1.77,8.3,3.6,0.0,5.8,,13,DAMA
ALU-1199,Natalio Céspedes,24,1.81,7.1,3.9,10.0,7.3,5.0,8,DAMB
ALU-1125,Alfonso Navarro,20,1.77,6.7,5.3,7.4,8.4,1.0,13,DAWB
ALU-1139,Cristóbal Blanes,36,1.72,7.8,3.9,6.6,9.2,11.0,25,DAWA
ALU-1105,Renato Águila,19,1.77,8.4,2.1,10.0,5.8,14.0,10,DAMB
ALU-1079,Roberta Perera,18,1.66,,9.5,3.4,8.7,10.0,0,DAMB
ALU-1054,Eladio Duarte,22,1.75,7.1,3.1,5.1,5.0,,2,DAWB
ALU-1137,Mariano Aramburu,23,1.66,4.8,7.7,0.0,6.1,9.0,8,DAWB
ALU-1117,Mónica Gallego,18,1.74,,3.7,3.2,6.8,9.0,0,DAWB
ALU-1134,César Meléndez,44,1.61,7.3,10.0,7.5,9.0,14.0,9,DAWA
ALU-1188,Balduino Diaz,21,1.77,6.0,2.7,5.3,4.5,15.0,0,DAMA
ALU-1022,Nazaret Abril,19,1.76,9.0,6.9,3.8,8.2,19.0,16,DAMA
ALU-1192,Maximino Franch,32,1.65,5.3,10.0,10.0,8.2,,20,DAWB
ALU-1129,Benjamín Arévalo,21,1.71,6.0,6.9,8.0,7.7,21.0,0,DAWA
ALU-1176,Borja Iriarte,23,1.75,9.4,4.8,10.0,7.7,16.0,21,DAWB
ALU-1071,Juan Antonio Ferrán,18,1.77,6.2,6.4,6.6,9.6,9.0,19,DAWA
ALU-1224,Dionisio Roma,19,1.65,7.0,5.6,7.6,2.6,4.0,9,DAMA
ALU-1172,Valeria Lluch,21,1.75,7.7,6.0,7.3,6.8,12.0,0,DAWA
ALU-1153,Aurelio Roldán,20,1.74,6.5,6.6,7.6,1.0,13.0,0,DAMA
ALU-1102,Lupe Valbuena,19,1.72,7.8,6.8,10.0,7.7,26.0,0,DAWA
ALU-1162,Cayetana Carlos,22,1.74,7.8,3.6,4.5,6.4,21.0,0,DAMA
ALU-1187,Isaura Serra,21,1.69,6.5,9.9,5.2,10.0,5.0,21,DAWA
ALU-1150,Cayetano Abril,32,1.71,7.8,8.4,5.8,6.6,12.0,6,DAWA
ALU-1160,Fulgencio Bartolomé,19,1.69,6.6,2.7,3.5,5.8,20.0,14,DAMA
ALU-1066,Ismael Trujillo,18,1.66,6.3,1.6,10.0,4.9,18.0,7,DAMB
ALU-1100,Lalo Burgos,18,1.75,8.0,5.4,3.8,5.1,16.0,4,DAMB
ALU-1055,Belen Navarro,32,1.73,6.1,4.4,2.5,6.4,8.0,23,DAMB
ALU-1005,Rodolfo Cañas,18,1.67,6.9,6.7,8.9,4.6,13.0,0,DAMB
ALU-1244,Consuelo Bastida,18,1.72,6.5,0.2,10.0,3.1,20.0,0,DAWB
ALU-1007,Felicia Rosselló,25,1.73,7.7,4.4,8.0,5.6,6.0,25,DAMB
ALU-1140,Albert Díez,36,1.71,5.5,2.6,4.8,3.6,23.0,7,DAMB
ALU-1103,Mario Moraleda,21,1.7,5.9,4.7,10.0,9.5,10.0,2,DAWB
ALU-1157,Aníbal Mendizábal,24,1.73,6.5,6.0,1.7,4.7,13.0,0,DAWB
ALU-1053,Lucía Prado,25,1.71,8.5,2.1,4.2,10.0,0.0,0,DAMB
ALU-1107,Nydia Soriano,24,1.68,6.2,7.5,8.4,7.9,19.0,0,DAWB
ALU-1090,Jose Angel Pellicer,18,1.74,7.3,4.9,9.4,5.8,18.0,0,DAWA
ALU-1198,Alonso Noriega,25,1.73,7.8,7.2,10.0,6.0,22.0,0,DAWB
ALU-1042,Victor Manuel Rivera,18,1.7,6.9,5.4,6.6,8.2,19.0,0,DAWB
ALU-1197,Andrés Felipe Benito,25,1.72,5.3,9.3,10.0,6.2,19.0,7,DAMB
ALU-1101,Jose Carlos Durán,22,1.69,6.4,0.0,0.6,0.0,21.0,21,DAMB
ALU-1111,Conrado Villa,18,1.76,6.4,4.6,10.0,8.7,23.0,0,DAWB
ALU-1147,Elba Pavón,21,1.72,7.2,5.8,7.1,8.5,17.0,6,DAMB
ALU-1232,Candelario Perelló,21,1.83,8.2,9.0,10.0,8.2,19.0,0,DAMB
ALU-1245,Paco Fortuny,32,1.73,7.5,0.0,3.3,6.1,3.0,4,DAMA
ALU-1178,Natanael Ferreras,44,1.67,7.1,5.8,10.0,7.6,30.0,25,DAMB
ALU-1193,Ignacio Planas,22,1.69,8.5,4.4,6.4,5.7,17.0,25,DAMA
ALU-1237,Rafael Mercader,18,1.8,6.2,0.0,0.0,4.1,11.0,0,DAMB
ALU-1051,Gustavo Ibarra,24,1.76,7.9,8.6,10.0,10.0,14.0,25,DAMA
ALU-1194,Urbano Rueda,19,1.62,6.8,3.3,10.0,4.8,25.0,0,DAWB
ALU-1175,Claudio Cobo,18,1.75,5.9,9.5,4.3,7.2,16.0,0,DAMB
ALU-1092,Mario Alcalde,24,1.72,7.6,5.9,7.9,7.6,12.0,0,DAWA
